"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"100"	TRUE	"m"	"GSM237048"	4.0007142857	"GSM237049"
"101"	TRUE	"m"	"GSM237049"	4.0007142857	"GSM237050"
"102"	TRUE	"m"	"GSM237050"	4.0007142857	"GSM237051"
"103"	TRUE	"m"	"GSM237051"	4.0007142857	"GSM237052"
"104"	TRUE	"m"	"GSM237052"	4.0007142857	"GSM237053"
"105"	TRUE	"m"	"GSM237053"	4.0007142857	"GSM237054"
"106"	TRUE	"m"	"GSM237054"	4.0007142857	"GSM237055"
"107"	TRUE	"m"	"GSM237055"	4.0007142857	"GSM237056"
"108"	TRUE	"m"	"GSM237056"	4.0007142857	"GSM237057"
"109"	TRUE	"m"	"GSM237057"	4.0007142857	"GSM237058"
"110"	TRUE	"m"	"GSM237058"	4.0007142857	"GSM237059"
"111"	TRUE	"m"	"GSM237059"	4.0007142857	"GSM237060"
"112"	TRUE	"m"	"GSM237060"	4.0007142857	"GSM237061"
"113"	TRUE	"m"	"GSM237061"	4.0007142857	"GSM237062"
"114"	TRUE	"m"	"GSM237062"	4.0007142857	"GSM237063"
"115"	TRUE	"m"	"GSM237063"	4.0007142857	"GSM237064"
"116"	TRUE	"m"	"GSM237064"	4.0007142857	"GSM237065"
"117"	TRUE	"l"	"GSM237065"	4.0007142857	"GSM237066"
"118"	TRUE	"f"	NA	0	"GSM239504"
"119"	TRUE	"l"	"GSM239504"	3120	"GSM239501"
"120"	TRUE	"f"	NA	0	"GSM239505"
"121"	TRUE	"m"	"GSM239505"	1320	"GSM239499"
"122"	TRUE	"l"	"GSM239499"	1800	"GSM239502"
"123"	TRUE	"f"	NA	0	"GSM239506"
"124"	TRUE	"m"	"GSM239506"	1320	"GSM239500"
"125"	TRUE	"l"	"GSM239500"	1800	"GSM239503"
"126"	TRUE	"f"	NA	0	"GSM239507"
"127"	TRUE	"m"	"GSM239507"	480	"GSM239513"
"128"	TRUE	"l"	"GSM239513"	1320	"GSM239510"
"129"	TRUE	"f"	NA	0	"GSM239508"
"130"	TRUE	"m"	"GSM239508"	480	"GSM239514"
"131"	TRUE	"l"	"GSM239514"	1320	"GSM239511"
"132"	TRUE	"f"	NA	0	"GSM239509"
"133"	TRUE	"m"	"GSM239509"	480	"GSM239515"
"134"	TRUE	"l"	"GSM239515"	1320	"GSM239512"
"135"	TRUE	"f"	NA	0	"GSM257776"
"136"	TRUE	"m"	"GSM257776"	1320	"GSM257779"
"137"	TRUE	"m"	"GSM257779"	1800	"GSM257781"
"138"	TRUE	"m"	"GSM257781"	1200	"GSM257784"
"139"	TRUE	"l"	"GSM257784"	1320	"GSM257787"
"140"	TRUE	"f"	NA	0	"GSM257777"
"141"	TRUE	"m"	"GSM257777"	1320	"GSM257780"
"142"	TRUE	"m"	"GSM257780"	1800	"GSM257782"
"143"	TRUE	"m"	"GSM257782"	1200	"GSM257785"
"144"	TRUE	"l"	"GSM257785"	1320	"GSM257788"
"145"	TRUE	"f"	NA	0	"GSM257778"
"146"	TRUE	"m"	"GSM257778"	3120	"GSM257783"
"147"	TRUE	"m"	"GSM257783"	1200	"GSM257786"
"148"	TRUE	"l"	"GSM257786"	1320	"GSM257789"
"149"	TRUE	"f"	NA	0	"GSM307217"
"150"	TRUE	"m"	"GSM307217"	30	"GSM307218"
"151"	TRUE	"m"	"GSM307218"	30	"GSM307219"
"152"	TRUE	"m"	"GSM307219"	40	"GSM307220"
"153"	TRUE	"m"	"GSM307220"	40	"GSM307221"
"154"	TRUE	"l"	"GSM307221"	40	"GSM307222"
"155"	TRUE	"f"	NA	0	"GSM307223"
"156"	TRUE	"m"	"GSM307223"	30	"GSM307224"
"157"	TRUE	"m"	"GSM307224"	30	"GSM307225"
"158"	TRUE	"m"	"GSM307225"	40	"GSM307226"
