"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"2"	FALSE	"e"	NA	0	"GSM206777"
"8"	TRUE	"f"	NA	0	"GSM206789"
"9"	TRUE	"l"	"GSM206789"	270	"GSM206791"
"11"	TRUE	"f"	NA	0	"GSM218598"
"12"	TRUE	"m"	"GSM218598"	16	"GSM218599"
"13"	TRUE	"m"	"GSM218599"	16	"GSM218600"
"14"	TRUE	"m"	"GSM218600"	16	"GSM218601"
"15"	TRUE	"m"	"GSM218601"	16	"GSM218602"
"16"	TRUE	"m"	"GSM218602"	16	"GSM218603"
"17"	TRUE	"m"	"GSM218603"	16	"GSM218604"
"18"	TRUE	"m"	"GSM218604"	16	"GSM218605"
"19"	TRUE	"m"	"GSM218605"	16	"GSM218606"
"20"	TRUE	"m"	"GSM218606"	16	"GSM218607"
"21"	TRUE	"m"	"GSM218607"	16	"GSM218608"
"22"	TRUE	"m"	"GSM218608"	16	"GSM218609"
"23"	TRUE	"m"	"GSM218609"	16	"GSM218610"
"24"	TRUE	"l"	"GSM218610"	16	"GSM218611"
"26"	TRUE	"f"	NA	0	"GSM218613"
"27"	TRUE	"m"	"GSM218613"	16	"GSM218614"
"28"	TRUE	"m"	"GSM218614"	16	"GSM218615"
"29"	TRUE	"m"	"GSM218615"	16	"GSM218616"
"30"	TRUE	"m"	"GSM218616"	16	"GSM218617"
"31"	TRUE	"m"	"GSM218617"	16	"GSM218618"
"32"	TRUE	"m"	"GSM218618"	16	"GSM218619"
"33"	TRUE	"m"	"GSM218619"	16	"GSM218620"
"34"	TRUE	"m"	"GSM218620"	16	"GSM218621"
"35"	TRUE	"m"	"GSM218621"	16	"GSM218622"
"36"	TRUE	"m"	"GSM218622"	16	"GSM218623"
"37"	TRUE	"m"	"GSM218623"	16	"GSM218624"
"38"	TRUE	"m"	"GSM218624"	16	"GSM218625"
"39"	TRUE	"l"	"GSM218625"	16	"GSM218626"
"40"	TRUE	"f"	NA	0	"GSM218627"
"41"	TRUE	"m"	"GSM218627"	16	"GSM218628"
"42"	TRUE	"m"	"GSM218628"	16	"GSM218629"
"43"	TRUE	"m"	"GSM218629"	16	"GSM218630"
"44"	TRUE	"m"	"GSM218630"	16	"GSM218631"
"45"	TRUE	"m"	"GSM218631"	16	"GSM218632"
"46"	TRUE	"m"	"GSM218632"	16	"GSM218633"
"47"	TRUE	"m"	"GSM218633"	16	"GSM218634"
"48"	TRUE	"m"	"GSM218634"	16	"GSM218635"
"49"	TRUE	"m"	"GSM218635"	16	"GSM218636"
"50"	TRUE	"m"	"GSM218636"	16	"GSM218637"
"51"	TRUE	"m"	"GSM218637"	16	"GSM218638"
"52"	TRUE	"m"	"GSM218638"	16	"GSM218639"
"53"	TRUE	"m"	"GSM218639"	16	"GSM218640"
"54"	TRUE	"l"	"GSM218640"	16	"GSM218641"
"56"	TRUE	"f"	NA	0	"GSM218643"
"57"	TRUE	"m"	"GSM218643"	16	"GSM218644"
"58"	TRUE	"m"	"GSM218644"	16	"GSM218645"
"59"	TRUE	"m"	"GSM218645"	16	"GSM218646"
"60"	TRUE	"m"	"GSM218646"	16	"GSM218647"
"61"	TRUE	"m"	"GSM218647"	16	"GSM218648"
"62"	TRUE	"m"	"GSM218648"	16	"GSM218649"
"63"	TRUE	"m"	"GSM218649"	16	"GSM218650"
"64"	TRUE	"m"	"GSM218650"	16	"GSM218651"
"65"	TRUE	"m"	"GSM218651"	16	"GSM218652"
"66"	TRUE	"m"	"GSM218652"	16	"GSM218653"
"67"	TRUE	"m"	"GSM218653"	16	"GSM218654"
"68"	TRUE	"m"	"GSM218654"	16	"GSM218655"
"69"	TRUE	"l"	"GSM218655"	16	"GSM218656"
"129"	FALSE	"e"	NA	0	"GSM239508"
"132"	FALSE	"e"	NA	0	"GSM239509"
"149"	FALSE	"e"	NA	0	"GSM307217"
"155"	FALSE	"e"	NA	0	"GSM307223"
"179"	TRUE	"f"	NA	0	"GSM307250"
"180"	TRUE	"l"	"GSM307250"	5	"GSM307251"
"188"	FALSE	"e"	NA	0	"GSM307260"
"194"	FALSE	"e"	NA	0	"GSM356518"
"204"	FALSE	"e"	NA	0	"GSM356528"
"214"	TRUE	"f"	NA	0	"GSM385480"
"215"	TRUE	"l"	"GSM385480"	15	"GSM385481"
"216"	TRUE	"f"	NA	0	"GSM385482"
"217"	TRUE	"l"	"GSM385482"	60	"GSM385483"
"237"	FALSE	"l"	NA	0	"GSM399865"
"240"	FALSE	"l"	NA	0	"GSM399865"
"243"	FALSE	"l"	NA	0	"GSM399865"
"244"	TRUE	"m"	"GSM399865"	15	"GSM399870"
"247"	TRUE	"l"	"GSM399870"	75	"GSM399873"
"248"	FALSE	"l"	NA	0	"GSM399865"
"249"	TRUE	"m"	"GSM399865"	15	"GSM399874"
"250"	TRUE	"m"	"GSM399874"	15	"GSM399875"
"251"	TRUE	"m"	"GSM399875"	15	"GSM399876"
"252"	TRUE	"l"	"GSM399876"	45	"GSM399877"
"253"	FALSE	"l"	NA	0	"GSM399865"
"254"	TRUE	"m"	"GSM399865"	15	"GSM399878"
"255"	TRUE	"l"	"GSM399878"	30	"GSM399879"
"256"	FALSE	"l"	NA	0	"GSM399865"
"257"	TRUE	"m"	"GSM399865"	15	"GSM399880"
"258"	TRUE	"m"	"GSM399880"	15	"GSM399881"
"259"	TRUE	"m"	"GSM399881"	15	"GSM399882"
"260"	TRUE	"l"	"GSM399882"	45	"GSM399883"
"261"	FALSE	"l"	NA	0	"GSM399865"
"262"	TRUE	"m"	"GSM399865"	15	"GSM399884"
"263"	TRUE	"l"	"GSM399884"	30	"GSM399885"
"264"	TRUE	"f"	NA	0	"GSM421939"
"265"	TRUE	"m"	"GSM421939"	15	"GSM421941"
"266"	TRUE	"l"	"GSM421941"	15	"GSM421943"
"268"	TRUE	"f"	NA	0	"GSM421940"
"269"	TRUE	"m"	"GSM421940"	15	"GSM421942"
"270"	TRUE	"l"	"GSM421942"	15	"GSM421944"
"272"	TRUE	"f"	NA	0	"GSM421947"
"273"	TRUE	"l"	"GSM421947"	15	"GSM421949"
"276"	FALSE	"e"	NA	0	"GSM421948"
"299"	FALSE	"e"	NA	0	"GSM421974"
"302"	TRUE	"f"	NA	0	"GSM421975"
"303"	TRUE	"l"	"GSM421975"	30	"GSM421977"
"305"	FALSE	"e"	NA	0	"GSM434015"
"307"	FALSE	"e"	NA	0	"GSM434016"
"309"	TRUE	"f"	NA	0	"GSM434017"
"310"	TRUE	"l"	"GSM434017"	120	"GSM434020"
"311"	TRUE	"f"	NA	0	"GSM434021"
"312"	TRUE	"l"	"GSM434021"	0	"GSM434024"
"313"	TRUE	"f"	NA	0	"GSM434022"
"314"	TRUE	"l"	"GSM434022"	0	"GSM434025"
"315"	TRUE	"f"	NA	0	"GSM434023"
"316"	TRUE	"l"	"GSM434023"	0	"GSM434026"
"332"	FALSE	"l"	NA	0	"GSM554210"
"334"	FALSE	"l"	NA	0	"GSM554210"
"336"	FALSE	"l"	NA	0	"GSM554210"
"338"	FALSE	"l"	NA	0	"GSM554210"
"340"	FALSE	"l"	NA	0	"GSM554210"
"341"	TRUE	"l"	"GSM554210"	30	"GSM554215"
"342"	FALSE	"l"	NA	0	"GSM554210"
"344"	FALSE	"l"	NA	0	"GSM554210"
"345"	TRUE	"l"	"GSM554210"	30	"GSM554217"
"346"	FALSE	"l"	NA	0	"GSM554210"
"347"	TRUE	"l"	"GSM554210"	30	"GSM554218"
"348"	FALSE	"l"	NA	0	"GSM554210"
"350"	FALSE	"l"	NA	0	"GSM554210"
"361"	TRUE	"f"	NA	0	"GSM567783"
"362"	TRUE	"m"	"GSM567783"	361.8	"GSM567784"
"363"	TRUE	"m"	"GSM567784"	390	"GSM567785"
"365"	TRUE	"l"	"GSM567785"	1127.4	"GSM567787"
"377"	FALSE	"e"	NA	0	"GSM596863"
"381"	FALSE	"e"	NA	0	"GSM596867"
"410"	TRUE	"f"	NA	0	"GSM630776"
"411"	TRUE	"l"	"GSM630776"	15	"GSM630777"
"423"	FALSE	"e"	NA	0	"GSM673318"
"431"	FALSE	"e"	NA	0	"GSM673329"
"435"	FALSE	"e"	NA	0	"GSM673330"
"439"	FALSE	"e"	NA	0	"GSM673331"
"443"	FALSE	"e"	NA	0	"GSM673341"
"447"	FALSE	"e"	NA	0	"GSM673342"
"451"	FALSE	"e"	NA	0	"GSM673343"
"455"	TRUE	"f"	NA	0	"GSM674597"
"456"	TRUE	"l"	"GSM674597"	15	"GSM674600"
"457"	TRUE	"f"	NA	0	"GSM674598"
"458"	TRUE	"l"	"GSM674598"	15	"GSM674601"
"459"	TRUE	"f"	NA	0	"GSM674599"
"460"	TRUE	"l"	"GSM674599"	15	"GSM674602"
"461"	TRUE	"f"	NA	0	"GSM772665"
"462"	TRUE	"l"	"GSM772665"	240	"GSM772668"
"463"	TRUE	"f"	NA	0	"GSM772666"
"464"	TRUE	"l"	"GSM772666"	240	"GSM772669"
"465"	TRUE	"f"	NA	0	"GSM772667"
"466"	TRUE	"l"	"GSM772667"	240	"GSM772670"
"467"	TRUE	"f"	NA	0	"GSM772671"
"468"	TRUE	"l"	"GSM772671"	240	"GSM772674"
"469"	TRUE	"f"	NA	0	"GSM772672"
"470"	TRUE	"l"	"GSM772672"	240	"GSM772675"
"471"	TRUE	"f"	NA	0	"GSM772673"
"472"	TRUE	"l"	"GSM772673"	240	"GSM772676"
"473"	TRUE	"f"	NA	0	"GSM772677"
"474"	TRUE	"l"	"GSM772677"	240	"GSM772680"
"475"	TRUE	"f"	NA	0	"GSM772678"
"476"	TRUE	"l"	"GSM772678"	240	"GSM772681"
"477"	TRUE	"f"	NA	0	"GSM772679"
"478"	TRUE	"l"	"GSM772679"	240	"GSM772682"
"479"	FALSE	"e"	NA	0	"GSM826839"
"483"	FALSE	"e"	NA	0	"GSM826841"
"497"	TRUE	"f"	NA	0	"GSM1374149"
"498"	TRUE	"m"	"GSM1374149"	20	"GSM1374150"
"499"	TRUE	"m"	"GSM1374150"	20	"GSM1374151"
"500"	TRUE	"m"	"GSM1374151"	20	"GSM1374152"
"501"	TRUE	"m"	"GSM1374152"	20	"GSM1374153"
"502"	TRUE	"m"	"GSM1374153"	20	"GSM1374154"
"503"	TRUE	"m"	"GSM1374154"	20	"GSM1374155"
"504"	TRUE	"m"	"GSM1374155"	20	"GSM1374156"
"505"	TRUE	"m"	"GSM1374156"	20	"GSM1374157"
"506"	TRUE	"m"	"GSM1374157"	20	"GSM1374158"
"507"	TRUE	"m"	"GSM1374158"	20	"GSM1374159"
"508"	TRUE	"m"	"GSM1374159"	20	"GSM1374160"
"509"	TRUE	"m"	"GSM1374160"	20	"GSM1374161"
"510"	TRUE	"l"	"GSM1374161"	20	"GSM1374162"
"513"	TRUE	"f"	NA	0	"GSM1374165"
"514"	TRUE	"m"	"GSM1374165"	20	"GSM1374166"
"515"	TRUE	"m"	"GSM1374166"	20	"GSM1374167"
"516"	TRUE	"m"	"GSM1374167"	20	"GSM1374168"
"517"	TRUE	"m"	"GSM1374168"	20	"GSM1374169"
"518"	TRUE	"m"	"GSM1374169"	20	"GSM1374170"
"519"	TRUE	"m"	"GSM1374170"	20	"GSM1374171"
"520"	TRUE	"m"	"GSM1374171"	20	"GSM1374172"
"521"	TRUE	"m"	"GSM1374172"	20	"GSM1374173"
"522"	TRUE	"m"	"GSM1374173"	20	"GSM1374174"
"523"	TRUE	"m"	"GSM1374174"	20	"GSM1374175"
"524"	TRUE	"m"	"GSM1374175"	20	"GSM1374176"
"525"	TRUE	"m"	"GSM1374176"	20	"GSM1374177"
"526"	TRUE	"l"	"GSM1374177"	20	"GSM1374178"
"530"	TRUE	"f"	NA	0	"GSM1374182"
